ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2016/01/04,23.7310,37.7075
2016/01/05,23.1363,37.5504
2016/01/06,22.6835,37.5570
2016/01/07,21.7261,37.4457
2016/01/08,21.8410,36.4247
2016/01/11,22.1947,35.2661
2016/01/12,22.5168,35.8945
2016/01/13,21.9379,33.8507
2016/01/14,22.4177,36.0863
2016/01/15,21.8793,37.9250
2016/01/19,21.7735,36.3707
2016/01/20,21.8027,37.7993
2016/01/21,21.6924,38.5996
2016/01/22,22.8457,38.9105
2016/01/25,22.3997,38.7914
2016/01/26,22.5236,38.5335
2016/01/27,21.0436,37.7729
2016/01/28,21.1945,36.9395
2016/01/29,21.9266,36.3112
2016/02/01,21.7217,35.9738
2016/02/02,21.2824,35.6828
2016/02/03,21.7036,37.5943
2016/02/04,21.8780,37.5414
2016/02/05,21.2937,35.1339
2016/02/08,21.5179,34.9817
2016/02/09,21.5134,35.3720
2016/02/10,21.3503,34.8693
2016/02/11,21.2212,34.5121
2016/02/12,21.2869,34.7767
2016/02/16,21.8871,35.3918
2016/02/17,22.2223,36.3839
2016/02/18,21.8010,36.0797
2016/02/19,21.7512,35.9077
2016/02/22,21.9414,36.5625
2016/02/23,21.4454,36.4236
2016/02/24,21.7648,36.3046
2016/02/25,21.9143,37.1710
2016/02/26,21.9482,37.0387
2016/02/29,21.8984,36.1194
2016/03/01,22.7681,37.2636
2016/03/02,22.8179,36.8403
2016/03/03,22.9878,36.9924
2016/03/04,23.3298,37.1379
2016/03/07,23.0716,37.3033
2016/03/08,22.8813,36.5889
2016/03/09,22.9017,37.2967
2016/03/10,22.9130,37.1908
2016/03/11,23.1599,38.1829
2016/03/14,23.2188,37.8390
2016/03/15,23.6853,36.7874
2016/03/16,24.0001,37.2438
2016/03/17,23.9616,36.5889
2016/03/18,23.9888,37.4157
2016/03/21,23.9865,37.0453
2016/03/22,24.1700,38.0308
2016/03/23,24.0364,37.2768
2016/03/24,23.9322,37.1181
2016/03/28,23.8235,37.1115
2016/03/29,24.3874,37.7332
2016/03/30,24.8132,37.7001
2016/03/31,24.6841,37.7795
2016/04/01,24.9106,37.9779
2016/04/04,25.1665,39.1618
2016/04/05,24.8698,38.7187
2016/04/06,25.1303,39.6116
2016/04/07,24.5822,39.2214
2016/04/08,24.6094,38.6724
2016/04/11,24.6909,38.6922
2016/04/12,25.0125,39.6116
2016/04/13,25.3749,39.4380
2016/04/14,25.3885,39.5849
2016/04/15,24.8789,39.7384
2016/04/18,24.3421,39.9855
2016/04/19,24.2130,40.1792
2016/04/20,24.2629,40.3862
2016/04/21,24.0001,40.9805
2016/04/22,23.9345,41.0139
2016/04/25,23.7986,40.7134
2016/04/26,23.6332,40.6867
2016/04/27,22.1543,40.5331
2016/04/28,21.4771,40.8670
2016/04/29,21.2303,40.7334
2016/05/02,21.2076,41.0272
2016/05/03,21.5564,41.2476
2016/05/04,21.3322,41.0406
2016/05/05,21.2456,41.6282
2016/05/06,21.1271,41.7417
2016/05/09,21.1431,42.5364
2016/05/10,21.2866,42.5631
2016/05/11,21.0793,41.8686
2016/05/12,20.5848,41.7284
2016/05/13,20.6258,41.4012
2016/05/16,21.3914,41.7017
2016/05/17,21.3026,40.2326
2016/05/18,21.5464,40.3728
2016/05/19,21.4643,39.5849
2016/05/20,21.6968,39.8587
2016/05/23,21.9725,39.5982
2016/05/24,22.3074,40.5331
2016/05/25,22.6994,40.8803
2016/05/26,22.8794,41.3344
2016/05/27,22.8657,41.8753
2016/05/31,22.7540,42.0222
