ticker,2800.HK,0568.HK,0883.HK,1810.HK,6869.HK,9988.HK,0700.HK,0981.HK,9992.HK,2828.HK,3690.HK,1024.HK,2689.HK,3033.HK,3317.HK,0098.HK,2577.HK,1788.HK,0138.HK,3986.HK,1428.HK,2411.HK,3988.HK,0005.HK,0941.HK,0988.HK,2377.HK,3810.HK,2318.HK,3968.HK,0980.HK,0986.HK,0857.HK,0939.HK,0175.HK,0960.HK,0316.HK,1752.HK,1357.HK,2208.HK,0664.HK,0966.HK,0613.HK,3975.HK,0971.HK,0660.HK,2097.HK,0992.HK,1138.HK,0990.HK,6970.HK,0097.HK,2432.HK,0998.HK,2382.HK,0618.HK,0018.HK,2899.HK,2313.HK,0376.HK,0020.HK,0968.HK,0091.HK,0363.HK,0012.HK,0023.HK,0090.HK,0241.HK,0754.HK,0072.HK,0036.HK,0093.HK,0683.HK,0385.HK,0076.HK,0191.HK,0016.HK,0038.HK,0384.HK,0880.HK,0112.HK,0081.HK,0003.HK,0095.HK,0168.HK,0030.HK,0688.HK,0995.HK,1377.HK,0367.HK,0039.HK,0386.HK,0014.HK,0027.HK,0085.HK,0088.HK,0034.HK,0083.HK,0094.HK,0389.HK,0019.HK,0017.HK,0086.HK,0015.HK,0032.HK,0921.HK,0961.HK,0037.HK,0996.HK,0013.HK,0380.HK,0010.HK,0022.HK,0392.HK,0388.HK,0031.HK,0011.HK,0035.HK,0989.HK,0697.HK,0006.HK,0099.HK,0381.HK,0033.HK,0699.HK,0963.HK,0092.HK,0696.HK
name,Tracker Fund Of Hong Kong,Shandong Molong Petroleum Machinery Company Limited,CNOOC Limited,Xiaomi Corporation,Yangtze Optical Fibre And Cable Joint Stock Limited Company,Alibaba Group Holding Limited,Tencent Holdings Limited,Semiconductor Manufacturing International Corporation,Pop Mart International Group Limited,Hang Seng China Enterprises Index ETF,Meituan,Kuaishou Technology,Nine Dragons Paper (Holdings) Limited,CSOP ETF Series - CSOP Hang Seng TECH Index ETF,Shenzhen Xunce Tech Co Ltd,Xingfa Aluminium Holdings Limited,InnoScience (Suzhou) Technology Holding Co. Ltd.,Guotai Junan International Holdings Limited,CCT Fortis Holdings Limited,GIGADEVICE,Bright Smart Securities & Commodities Group Limited,Shenzhen Pagoda Industrial (Group) Corporation Limited,Bank of China Limited,HSBC Holdings plc,China Mobile Limited,0988.HK,China Boqi Environmental (Holding) Co. Ltd.,44799218,Ping An Insurance (Group) Company of China Ltd.,China Merchants Bank Co. Ltd.,Lianhua Supermarket Holdings Co. Ltd.,Dufu Liquor Group Limited,PetroChina Company Limited,China Construction Bank Corporation,Geely Automobile Holdings Limited,Longfor Group Holdings Limited,Orient Overseas (International) Limited,Top Education Group Ltd,Meitu Inc.,Goldwind Science&Technology Co. Ltd.,Hangzhou Tongshifu Cultural and Creative (Group) Co. Ltd.,China Taiping Insurance Holdings Company Limited,Planetree International Development Limited,3975.HK,0971.HK,Wai Chun Bio-Technology Limited,MIXUE Group,Lenovo Group Limited,COSCO SHIPPING Energy Transportation Co. Ltd.,Deep Source Holdings Limited,6970.HK,Henderson Investment Limited,Shenzhen Dobot Corp Ltd,China CITIC Bank Corporation Limited,Sunny Optical Technology (Group) Company Limited,Peking University Resources (Holdings) Company Limited,Oriental Media Group Limited,Zijin Mining Group Company Limited,Shenzhou International Group Holdings Limited,Yunfeng Financial Group Limited,SenseTime Group Inc.,Xinyi Solar Holdings Limited,GOLDEN CEN INTL,Shanghai Industrial Holdings Limited,Henderson Land Development Company Limited,The Bank of East Asia Limited,Puxing Energy Limited,Alibaba Health Information Technology Limited,Hopson Development Holdings Limited,Meta Media Holdings Limited,Far East Holdings International Limited,Zero Fintech Group Limited,Kerry Properties Limited,Chinney Alliance Group Limited,Elate Holdings Limited,Lai Sun Garment (International) Limited,Sun Hung Kai Properties Limited,First Tractor Company Limited,China Gas Holdings Limited,SJM Holdings Limited,0112.HK,China Overseas Grand Oceans Group Limited,The Hong Kong and China Gas Company Limited,LVGEM (China) Real Estate Investment Company Limited,Tsingtao Brewery Company Limited,YNBY International Limited,China Overseas Land & Investment Limited,Anhui Expressway Company Limited,1377.HK,Chuang's Consortium International Limited,China Beidahuang Industry Group Holdings Limited,China Petroleum & Chemical Corporation,Hysan Development Company Limited,Galaxy Entertainment Group Limited,China Electronics Huada Technology Company Limited,Tai Cheung Holdings Limited,Kowloon Development Company Limited,Sino Land Company Limited,Greenheart Group Limited,China Tontine Wines Group Limited,Swire Pacific Limited,New World Development Company Limited,Sun Hung Kai & Co. Limited,0015.HK,The Cross-Harbour (Holdings) Limited,Hisense Home Appliances Group Co. Ltd.,0961.HK,Far East Hotels and Entertainment Limited,0996.HK,HUTCHMED (China) Limited,China Pipe Group Limited,Hang Lung Group Limited,Mexan Limited,Beijing Enterprises Holdings Limited,Hong Kong Exchanges and Clearing Limited,China Aerospace International Holdings Limited,0011.HK,Far East Consortium International Limited,China Changbaishan International Holdings Limited,Shoucheng Holdings Limited,Power Assets Holdings Limited,Wong's International Holdings Limited,AOM International Group Company Limited,International Genius Company,Ningbo Joyson Electronic Corp.,BLOOMAGE BIOTEC,Champion Technology Holdings Limited,TravelSky Technology Limited
2016/01/04,15.2138,3.0200,3.7159,,6.6836,,129.7112,7.7000,,,,,3.3952,,,1.5951,,1.6210,9.0061,,0.3562,,1.6456,33.6298,45.2719,,,,26.5475,11.4902,3.3000,12.1008,2.7420,2.6415,3.2896,7.1695,8.0678,,,7.6215,,18.6230,0.5997,,,7.2000,,4.5511,3.4193,0.1646,,0.3948,,2.2992,16.1908,1.4838,0.2852,1.4902,32.5081,9.7100,,2.3214,2.2816,9.6635,18.4746,17.1418,0.8137,5.0400,3.1995,1.4967,8.2410,0.5034,9.8039,0.6073,2.7600,2.9673,59.1302,3.5348,7.4047,4.2366,,1.8314,6.3378,2.1880,27.9769,0.1505,16.7003,3.5283,,0.5044,0.7200,2.0131,17.8386,20.8106,2.0210,3.5349,2.7701,6.1016,0.5834,2.4600,46.7858,17.3783,2.3022,,6.7068,2.4551,,0.4550,,,0.2800,13.9709,0.0608,29.4537,146.9910,0.7845,,1.3553,19.4000,0.7960,30.7174,1.9643,83.7808,10.0719,,,8.2892,10.5285
2016/01/05,15.1784,3.0300,3.7252,,6.6912,,128.2323,7.7000,,,,,3.3724,,,1.6308,,1.5895,9.5690,,0.3531,,1.6407,33.3514,44.1015,,,,26.2550,11.1751,3.2100,11.9189,2.6983,2.6364,3.1494,7.0551,7.9908,,,7.5998,,18.3796,0.5950,,,7.1000,,4.4840,3.4704,0.1627,,0.4013,,2.2898,16.6299,1.4467,0.2852,1.5278,33.1530,9.6400,,2.3285,2.2981,9.6043,18.2015,17.0478,0.7806,5.1700,3.2696,1.4967,8.0470,0.4946,9.7570,0.6073,2.7000,2.9673,59.0350,3.6326,7.3908,4.2687,,1.8071,6.3378,2.1880,27.1192,0.1496,16.5708,3.5391,,0.5044,0.6300,2.0131,17.7549,20.8959,1.9927,3.5063,2.7591,6.1344,0.5834,2.5000,46.6479,17.3783,2.2837,,6.7068,2.5139,,0.4450,,,0.2750,14.1409,0.0608,29.1008,146.1523,0.7845,,1.3458,19.2000,0.7960,30.7395,1.9643,79.9726,10.3466,,,8.6234,10.1600
2016/01/06,15.0010,3.0100,3.7205,,6.6987,,127.0143,7.8000,,,,,3.2964,,,1.6606,,1.5706,9.6494,,0.3547,,1.6260,32.9895,43.8887,,,,26.0601,11.0175,3.1700,11.6459,2.6656,2.6210,3.0422,7.1441,7.5512,,,7.5673,,18.2984,0.6184,,,7.1000,,4.3437,3.5070,0.1637,,0.4013,,2.2757,16.8311,1.4096,0.2819,1.5504,33.4185,9.4800,,2.3497,2.3147,9.5846,18.1040,16.6404,0.7806,5.2700,3.2784,1.4967,7.7562,0.5034,9.7101,0.6073,2.6000,2.9673,58.4323,3.5875,7.3215,4.2447,,1.8010,6.2614,2.2066,27.0784,0.1487,16.3442,3.5391,,0.5044,0.5900,1.9820,17.7828,20.5121,1.9998,3.5177,2.7555,6.1125,0.5591,2.6000,46.2341,16.6069,2.2929,,6.7068,2.5139,,0.4500,,,0.2550,14.1976,0.0608,28.9404,144.9325,0.7691,,1.3744,19.0000,0.8107,30.8942,1.9789,76.1644,10.1634,,,8.6234,10.2828
2016/01/07,14.5755,3.0100,3.5025,,6.6987,,121.9685,7.3000,,,,,3.1369,,,1.6606,,1.4318,9.4082,,0.3314,,1.5770,31.9037,42.7715,,,,24.6628,10.5185,3.1700,11.1000,2.4908,2.5646,2.8608,6.8263,7.4193,,,7.1004,,17.2436,0.6184,,,7.1000,,4.2583,3.4851,0.1637,,0.4013,,2.1911,16.3554,1.3725,0.2819,1.5127,31.6357,9.4800,,2.2152,2.3147,9.0324,17.9284,16.1077,0.7806,4.9700,3.0987,1.4967,7.3684,0.4946,9.4990,0.6073,2.6000,2.8225,58.1468,3.3619,7.0719,4.0200,,1.7101,6.2444,2.2066,25.4447,0.1487,15.5351,3.4259,,0.5044,0.5900,1.8398,17.4757,19.1474,1.8231,3.5177,2.7262,6.0032,0.5105,2.6000,45.1858,16.1305,2.2236,,6.5886,2.4486,,0.4350,,,0.2600,13.7158,0.0608,27.7211,140.3581,0.7691,,1.3744,17.8000,0.8107,30.6732,1.9643,76.1644,10.1634,,,8.2224,9.8617
2016/01/08,14.6819,2.8300,3.5396,,6.5259,,124.0564,7.4000,,,,,3.1141,,,1.6784,,1.4507,10.6144,,0.3485,,1.5770,31.9594,43.6493,,,,24.6953,10.5185,3.0700,11.3730,2.5563,2.5748,2.8938,6.7627,7.2654,,,6.9918,,17.1624,0.5856,,,6.8000,,4.3681,3.4193,0.1637,,0.3948,,2.2005,16.6299,1.1871,0.2852,1.5203,30.9150,8.4800,,2.1869,2.2981,9.1212,17.7723,16.0137,0.7740,5.0500,3.1469,1.4772,7.4653,0.5034,9.3067,0.6134,2.4400,2.8587,58.0834,3.4220,7.0025,3.9799,,1.7586,6.2529,2.1414,25.7715,0.1459,15.3733,3.4313,,0.4925,0.6200,1.9420,17.5315,18.8063,1.8373,3.5463,2.6568,5.8282,0.5267,2.5000,45.0479,16.2893,2.2375,,6.6280,2.4225,,0.4500,,,0.2600,13.6875,0.0585,28.1703,142.1879,0.7461,,1.3125,18.0000,0.7812,30.7174,1.9643,76.1644,9.3394,,,8.4897,10.2127
2016/01/11,14.2563,2.6800,3.3912,,6.2706,,120.0546,7.0000,,,,,3.0762,,,1.6427,,1.3624,9.8103,,0.3283,,1.5281,31.3748,42.8779,,,,23.6230,10.2427,2.9500,10.5541,2.4307,2.5235,2.7537,6.5212,7.1005,,,6.5358,,16.0669,0.5716,,,6.5000,,4.1912,3.3901,0.1627,,0.3948,,2.1581,16.0078,1.1871,0.2786,1.4601,30.2322,9.3100,,2.1232,2.2155,8.8352,17.1871,15.4809,0.8534,4.9400,2.9365,1.4772,7.0775,0.5387,9.0909,0.5952,2.3400,2.8587,57.1317,3.1889,6.9609,3.8114,,1.6494,6.1509,2.0949,25.3630,0.1368,14.6289,3.3290,,0.4925,0.5700,1.8842,17.4478,18.2519,1.7171,3.5006,2.6202,5.6423,0.5105,2.4000,43.8617,15.7675,2.1912,,6.5361,2.3506,,0.4250,,,0.2600,13.2908,0.0585,27.0474,138.8333,0.6999,,1.2792,18.0000,0.7517,30.0544,1.9570,73.3082,9.7056,,,8.2224,9.7740
2016/01/12,14.1145,2.6200,3.2798,,6.1955,,118.4017,7.3000,,,,,3.0458,,,1.6963,,1.3498,8.6041,,0.3268,,1.5232,31.4583,42.3725,,,,23.1681,10.4266,2.8800,10.4631,2.3979,2.5082,2.7454,6.5339,7.0566,,,6.6010,,15.9696,0.5575,,,6.6000,,4.1241,3.3901,0.1608,,0.3819,,2.1534,14.8736,1.0572,0.2852,1.4450,30.7633,8.8500,,2.1232,2.1493,8.6873,16.7774,15.3242,0.8798,4.8000,2.9628,1.4772,6.8836,0.5652,9.0158,0.5830,2.3000,2.8587,56.9731,3.1513,7.0025,3.8515,,1.6434,6.1169,2.0856,25.0771,0.1413,14.2729,3.3128,,0.4984,0.4950,1.8665,17.4478,18.4225,1.7101,3.5006,2.6312,5.5658,0.5105,2.4100,42.8962,15.6767,2.1727,,6.4574,2.2788,,0.4150,,,0.2600,13.0641,0.0561,26.3094,136.9273,0.7230,,1.2507,18.0000,0.7340,29.7008,1.9570,78.0685,9.6141,,,7.9550,9.6160
2016/01/13,14.3272,2.5600,3.3726,,6.1805,,119.5326,7.4000,,,,,3.1673,,,1.6665,,1.3372,8.8453,,0.3299,,1.5281,31.7646,43.4099,,,,23.4931,10.4528,2.8700,10.2811,2.4307,2.5082,2.9021,6.6102,7.1445,,,6.4816,,16.0020,0.5716,,,6.7000,,4.1058,3.5216,0.1627,,0.3948,,2.1675,14.3796,1.1871,0.2885,1.4375,29.8908,8.8400,,2.1657,2.1659,8.7958,16.9530,15.5749,0.8468,4.8100,2.9672,1.4772,7.1745,0.5741,9.1472,0.6073,2.3000,2.8949,57.1000,3.1513,7.0303,3.8274,,1.6191,6.1509,2.0576,25.1997,0.1404,14.4671,3.3182,,0.4925,0.4850,1.8976,17.5315,18.4651,1.6253,3.4549,2.5837,5.6423,0.5186,2.4400,42.8410,15.8809,2.2097,,6.4508,2.2396,,0.4250,,,0.2750,13.2908,0.0552,26.4698,137.0797,0.7076,,1.2460,17.8000,0.7223,30.2312,1.9570,80.9247,9.7056,,,8.0218,9.6687
2016/01/14,14.2208,2.5500,3.3772,,6.1655,,119.2716,7.4000,,,,,3.0686,,,1.6784,,1.3372,9.0061,,0.3299,,1.5232,31.3470,43.2503,,,,23.5905,10.3084,2.8200,10.1902,2.4471,2.4723,2.9186,6.5466,7.1225,,,6.5141,,15.6774,0.5575,,,6.7000,,4.0997,3.7262,0.1655,,0.3884,,2.1534,14.9833,1.1314,0.2918,1.4601,29.7391,8.3000,,2.1799,2.1989,8.7563,16.7384,15.2302,0.8203,4.7300,2.9584,1.4772,7.1745,0.6271,9.1003,0.6073,2.2600,2.8225,56.6559,3.1513,7.0233,3.7793,,1.6373,6.1934,2.0483,25.4039,0.1404,14.4994,3.2913,,0.5044,0.4900,1.8753,17.4478,18.4225,1.6394,3.4435,2.5216,5.5877,0.4943,2.4800,42.3445,15.5179,2.1542,,6.3524,2.2005,,0.4200,,,0.2750,13.0924,0.0552,25.9565,137.0797,0.7230,,1.2507,18.0000,0.6898,31.1372,1.9570,74.2603,9.5225,,,8.0887,10.1074
